"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Create file","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Files","",""
"","234","Create file with empty filename","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
"","17","Create course","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Courses","",""
"","21","Update courses","LMS Service","2026-06-29","passed","2026-06-29","Update entity","Courses","",""
"","256","Get courses","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Courses","",""
"","9","Get file with incorrect file id","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
"","495","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","13","Get exercises","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Exercises","",""
"","9","Get user me","LMS Service","2026-06-29","passed","2026-06-29","Get entity","Users","",""
"","20","Get exercise","LMS Service","2026-06-29","passed","2026-06-29","Get entity","Exercises","",""
"","15","Delete file","LMS Service","2026-06-29","passed","2026-06-29","Delete entity","Files","",""
"","237","Create file with empty directory","LMS Service","2026-06-29","passed","2026-06-29","Validate entity","Files","",""
"","20","Update exercise","LMS Service","2026-06-29","passed","2026-06-29","Update entity","Exercises","",""
"","14","Delete exercise","LMS Service","2026-06-29","passed","2026-06-29","Delete entity","Exercises","",""
"","14","Create exercise","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Exercises","",""
"","484","Login with correct email and password","LMS Service","2026-06-29","passed","2026-06-29","Login","Authentication","",""
"","510","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","453","Create user","LMS Service","2026-06-29","passed","2026-06-29","Create entity","Users","",""
"","11","Get file","LMS Service","2026-06-29","passed","2026-06-29","Get entities","Files","",""
